https://www.atmos.washington.edu/~dennis/321/Chapter_01_Tables.pdf
Name,Formula,Molar_Mass,pct_vol,Total_Mass_g
Dry air,Dry,28.964,100.0,5119000000000000000000
Nitrogen,N2,28.013,78.08,3870000000000000000000
Oxygen,O2,31.999,20.95,1185000000000000000000
Argon,Ar,39.948,0.934,65900000000000000000
Water vapor,H2O,18.015,variable,17000000000000000000
Carbon dioxide,CO2,44.01,353 ppmv,2760000000000000000
Neon,Ne,20.183,18.18 ppmv,64800000000000000
Krypton,Kr,83.80,1.14 ppmv,16900000000000000
Helium,He,4.003,5.24 ppmv,3710000000000000
Methane,CH4,16.043,1.72 ppmv,4900000000000000
Xenon,Xe,131.30,87 ppbv,2020000000000000
Ozone,O3,47.998,variable,3300000000000000
Nitrous oxide,N2O,44.013,310 ppbv,2300000000000000
Carbon monoxide,CO,28.01,120 ppbv,590000000000000
Hydrogen,H2,2.016,500 ppbv,180000000000000
Ammonia,NH3,17.03,100 ppbv,30000000000000
Nitrogen dioxide,NO2,46.00,1 ppbv,8100000000000
Sulfur dioxide,SO2,64.06,200 pptv,2300000000000
Hydrogen sulfide,H2S,34.08,200 pptv,1200000000000
