"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-03",,"1","2","8","1","4.2","0.36","77",,"1.39","6.0","36.2","44.8","27.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-04",,"0","0","21","0","0.6","0.90","74",,"2.01","0.7","44.0","53.7","34.2"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-05",,"0","0","31","0","0.0","0.76","89",,"1.69","0.0","58.2","70.1","46.2"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-06",,"0","0","41","0","0.0","2.56","87",,"6.64","0.0","63.0","72.9","53.0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-11",,"0","0","19","0","0.1","1.29","68",,"4.06","0.1","40.6","47.2","33.9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1928-12",,"3","2","0","1","1.6","1.24","50",,"2.61","3.9","30.4","36.9","23.9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-01","0","27","7","-13","6","5.6","0.90","42",,"3.88","19.2","15.3","25.1","5.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-02","0","20","3","-9","5","1.6","0.16","47",,"0.61","6.1","19.6","28.0","11.1"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-03","0","0","0","8","0","0.2","2.50","72",,"4.72","0.5","42.0","51.5","32.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-04","25","0","0","29","0","0.0","1.14","84",,"3.88","0.0","50.6","59.6","41.6"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-05","92","0","0","32","0","0.0","0.66","92",,"2.26","0.0","56.7","67.4","45.9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-06","181","0","0","38","0","0.0","2.80","90",,"5.76","0.0","64.5","75.2","53.8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1929-11",,"0","0","-1","0","0.0","1.01","55",,"1.28","0.0","34.2","41.8","26.7"
